[2026-07-23T03:39:07.598Z] MUD daemon started, listening on localhost:9999
[2026-07-23T03:39:07.604Z] CLI server listening on localhost:9999
[2026-07-23T03:39:09.834Z] Connected to MUD server
[2026-07-23T03:39:10.838Z] Sending character name: dummy
[2026-07-23T03:39:12.350Z] Sending confirmation Y
[2026-07-23T03:39:13.356Z] Sending password after confirmation
[2026-07-23T03:39:15.368Z] Clearing pending Y/N prompt
[2026-07-23T03:39:15.879Z] Login sequence complete
[2026-07-23T03:39:18.239Z] Auto-answering password retype
[2026-07-23T03:39:18.339Z] Auto-answering password retype
[2026-07-23T03:39:18.438Z] Auto-answering password retype
[2026-07-23T03:39:18.539Z] Auto-answering password retype
[2026-07-23T03:39:18.638Z] Auto-answering password retype
[2026-07-23T03:39:18.739Z] Auto-answering password retype
[2026-07-23T03:39:18.838Z] Auto-answering password retype
[2026-07-23T03:39:18.939Z] Auto-answering password retype
[2026-07-23T03:39:19.038Z] Auto-answering password retype
[2026-07-23T03:39:19.138Z] Auto-answering password retype
[2026-07-23T03:39:19.238Z] Auto-answering password retype
[2026-07-23T03:39:19.338Z] Auto-answering password retype
[2026-07-23T03:39:19.438Z] Auto-answering password retype
[2026-07-23T03:39:19.538Z] Auto-answering password retype
[2026-07-23T03:39:19.638Z] Auto-answering password retype
[2026-07-23T03:39:19.738Z] Auto-answering password retype
[2026-07-23T03:39:19.838Z] Auto-answering password retype
[2026-07-23T03:39:19.938Z] Auto-answering password retype
[2026-07-23T03:39:20.038Z] Auto-answering password retype
[2026-07-23T03:39:20.138Z] Auto-answering password retype
[2026-07-23T03:39:20.238Z] Auto-answering password retype
[2026-07-23T03:39:20.338Z] Auto-answering password retype
[2026-07-23T03:39:20.438Z] Auto-answering password retype
[2026-07-23T03:39:20.538Z] Auto-answering password retype
[2026-07-23T03:39:20.638Z] Auto-answering password retype
[2026-07-23T03:39:20.738Z] Auto-answering password retype
[2026-07-23T03:39:20.838Z] Auto-answering password retype
[2026-07-23T03:39:20.938Z] Auto-answering password retype
[2026-07-23T03:39:21.038Z] Auto-answering password retype
[2026-07-23T03:39:21.138Z] Auto-answering password retype
[2026-07-23T03:39:21.238Z] Auto-answering password retype
[2026-07-23T03:39:21.338Z] Auto-answering password retype
[2026-07-23T03:39:21.438Z] Auto-answering password retype
[2026-07-23T03:39:21.538Z] Auto-answering password retype
[2026-07-23T03:39:21.638Z] Auto-answering password retype
[2026-07-23T03:39:21.738Z] Auto-answering password retype
[2026-07-23T03:39:21.838Z] Auto-answering password retype
[2026-07-23T03:39:21.938Z] Auto-answering password retype
[2026-07-23T03:39:22.037Z] Auto-answering password retype
[2026-07-23T03:39:22.137Z] Auto-answering password retype
[2026-07-23T03:39:22.237Z] Auto-answering password retype
[2026-07-23T03:39:22.337Z] Auto-answering password retype
[2026-07-23T03:39:22.437Z] Auto-answering password retype
[2026-07-23T03:39:22.539Z] Auto-answering password retype
