[2026-07-23T18:03:16.734Z] MUD daemon started, listening on localhost:9999
[2026-07-23T18:03:16.744Z] CLI server listening on localhost:9999
[2026-07-23T18:03:17.654Z] Connected to MUD server
[2026-07-23T18:03:18.652Z] Sending character name: dummy
[2026-07-23T18:03:20.160Z] Sending confirmation Y
[2026-07-23T18:03:21.171Z] Sending password after confirmation
[2026-07-23T18:03:23.178Z] Clearing pending Y/N prompt
[2026-07-23T18:03:23.692Z] Login sequence complete
[2026-07-23T18:03:35.177Z] Auto-answering password retype
[2026-07-23T18:03:35.280Z] Auto-answering password retype
[2026-07-23T18:03:35.382Z] Auto-answering password retype
[2026-07-23T18:03:35.485Z] Auto-answering password retype
[2026-07-23T18:03:35.588Z] Auto-answering password retype
[2026-07-23T18:03:35.691Z] Auto-answering password retype
[2026-07-23T18:03:35.794Z] Auto-answering password retype
[2026-07-23T18:03:35.897Z] Auto-answering password retype
[2026-07-23T18:03:35.999Z] Auto-answering password retype
[2026-07-23T18:03:36.102Z] Auto-answering password retype
[2026-07-23T18:03:36.205Z] Auto-answering password retype
[2026-07-23T18:03:36.308Z] Auto-answering password retype
[2026-07-23T18:03:36.411Z] Auto-answering password retype
[2026-07-23T18:03:36.514Z] Auto-answering password retype
[2026-07-23T18:03:36.617Z] Auto-answering password retype
[2026-07-23T18:03:36.720Z] Auto-answering password retype
[2026-07-23T18:03:36.822Z] Auto-answering password retype
[2026-07-23T18:03:36.925Z] Auto-answering password retype
[2026-07-23T18:03:37.028Z] Auto-answering password retype
[2026-07-23T18:03:37.131Z] Auto-answering password retype
[2026-07-23T18:03:37.234Z] Auto-answering password retype
[2026-07-23T18:03:37.337Z] Auto-answering password retype
[2026-07-23T18:03:37.440Z] Auto-answering password retype
[2026-07-23T18:03:37.542Z] Auto-answering password retype
[2026-07-23T18:03:37.645Z] Auto-answering password retype
[2026-07-23T18:03:37.749Z] Auto-answering password retype
[2026-07-23T18:03:37.851Z] Auto-answering password retype
[2026-07-23T18:03:37.954Z] Auto-answering password retype
[2026-07-23T18:03:38.056Z] Auto-answering password retype
[2026-07-23T18:03:38.159Z] Auto-answering password retype
[2026-07-23T18:03:38.263Z] Auto-answering password retype
[2026-07-23T18:03:38.365Z] Auto-answering password retype
[2026-07-23T18:03:38.470Z] Auto-answering password retype
[2026-07-23T18:03:38.571Z] Auto-answering password retype
[2026-07-23T18:03:38.674Z] Auto-answering password retype
[2026-07-23T18:03:38.777Z] Auto-answering password retype
[2026-07-23T18:03:38.880Z] Auto-answering password retype
[2026-07-23T18:03:38.985Z] Auto-answering password retype
[2026-07-23T18:03:39.086Z] Auto-answering password retype
[2026-07-23T18:03:39.189Z] Auto-answering password retype
[2026-07-23T18:03:39.292Z] Auto-answering password retype
[2026-07-23T18:03:39.394Z] Auto-answering password retype
